Maternal Mortality Change,Maternal Mortality,Malaria Cases Change,Malaria Cases,Neonatal Mortality Change,Neonatal Mortality,GDP Change,GDP per capita,Pupil Teacher Ratio,Pupil Teacher Ratio Change,Tuberculosis Incidents Change,Tuberculosis Incidents,Country,Measles Vaccine,Measles Vaccines,Hib3 Immunizations %,Hib3 Immunizations,Water Services,Water Services Access
-58,Significant decrease,9979,Increase,-3,Decrease,-1861.021468,Significant decrease,,,-26,Decrease,GAB,2,Increase,8,Significant Increase,1.616192194,Increased
-126,Significant decrease,971210,Significant increase,-3,Decrease,60.53777003,Increase,,,-10,Decrease,GIN,-10,Significant Decrease,-19,Significant Decrease,-0.890241266,Decreased
-50,Significant decrease,37421,Increase,-3,Decrease,-177.9198534,Decrease,,,-4,No change,GMB,5,Increase,-2,Decrease,,
-100,Significant decrease,100512,Increase,-7,Decrease,103.3755223,Increase,,,0,No change,GNB,10,Significant Increase,2,Increase,4.800882045,Increased
-7,Moderate decrease,93901,Increase,-4,Decrease,-8027.957973,Significant decrease,,,52,Increase,GNQ,-21,Significant Decrease,,,,
-17,Moderate decrease,-62723,Significant decrease,-4,Decrease,69.67435083,Increase,,,-41,Significant decrease,HTI,5,Increase,,,2.822229169,Increased
-44,Moderate decrease,-247314,Significant decrease,-4,Decrease,440.4829412,Increase,,,-20,Decrease,IDN,-2,Stayed the same,,,,
-60,Significant decrease,-512701,Significant decrease,-7,Decrease,371.7043014,Increase,,,-36,Decrease,IND,6,Increase,,,,
-6,Moderate decrease,-1766,Decrease,-2,Decrease,-1337.305635,Decrease,,,-3,No change,IRN,0,Stayed the same,,,,
8,Increase,0,No change,-4,Decrease,119.4460736,Increase,,,-2,No change,IRQ,5,Increase,,,,
-12,Moderate decrease,0,No change,-5,Decrease,-1355.646409,Decrease,,,-72,Significant decrease,KAZ,0,Stayed the same,-14,Significant Decrease,,
-86,Significant decrease,1885315,Significant increase,-3,Decrease,458.83961,Increase,,,-183,Significant decrease,KEN,10,Significant Increase,0,Stayed the same,,
-16,Moderate decrease,-3,No change,-2,Decrease,240.6287379,Increase,,,13,Increase,KGZ,-2,Stayed the same,0,Stayed the same,,
-80,Significant decrease,-25864,Significant decrease,-5,Decrease,493.1287793,Increase,,,-91,Significant decrease,KHM,-6,Decrease,7,Significant Increase,,
-4,No change,-665,Decrease,0,No change,5521.294509,Significant increase,,,-19,Decrease,KOR,0,Stayed the same,,,,
-96,Significant decrease,-9577,Significant decrease,-5,Decrease,1168.201277,Significant increase,,,-46,Significant decrease,LAO,2,Increase,-8,Significant Decrease,,
-20,Moderate decrease,-3,No change,-5,Decrease,57.7382715,Increase,,,2,No change,MAR,1,Stayed the same,0,Stayed the same,9.244391564,Increased
